#     charge   sigma   epsilon
#Graphene
C215 -0.000000 3.39967 0.359824
C216 -0.000000 3.39967 0.359824
C217 -0.000000 3.39967 0.359824
C218 -0.000000 3.39967 0.359824
C219 -0.000001 3.39967 0.359824
C220 -0.000089 3.39967 0.359824
C221 -0.001252 3.39967 0.359824
C222 -0.015867 3.39967 0.359824
C223 -0.046364 3.39967 0.359824
C224 -0.046364 3.39967 0.359824
C225 -0.015867 3.39967 0.359824
C226 -0.001252 3.39967 0.359824
C227 -0.000089 3.39967 0.359824
C228 -0.000001 3.39967 0.359824
C229 -0.000000 3.39967 0.359824
C230 -0.000000 3.39967 0.359824
C231 -0.000000 3.39967 0.359824
C232 -0.000000 3.39967 0.359824
C233 -0.000000 3.39967 0.359824
C234  0.000000 3.39967 0.359824
C235  0.000000 3.39967 0.359824
C236  0.000000 3.39967 0.359824
C237  0.000000 3.39967 0.359824
C238  0.000000 3.39967 0.359824
C239  0.000000 3.39967 0.359824
C240  0.000000 3.39967 0.359824
C241  0.000000 3.39967 0.359824
C242  0.000000 3.39967 0.359824
C243  0.000000 3.39967 0.359824
C244  0.000000 3.39967 0.359824
C245  0.000000 3.39967 0.359824
C246 -0.000000 3.39967 0.359824
C247 -0.000000 3.39967 0.359824
C248 -0.000000 3.39967 0.359824
C249 -0.000000 3.39967 0.359824
C250 -0.000000 3.39967 0.359824
C251 -0.000001 3.39967 0.359824
C252 -0.000089 3.39967 0.359824
C253 -0.001252 3.39967 0.359824
C254 -0.015867 3.39967 0.359824
C255 -0.046364 3.39967 0.359824
C256 -0.046364 3.39967 0.359824
C257 -0.015867 3.39967 0.359824
C258 -0.001252 3.39967 0.359824
C259 -0.000089 3.39967 0.359824
C260 -0.000001 3.39967 0.359824
C261 -0.000000 3.39967 0.359824
C262 -0.000000 3.39967 0.359824
C263 -0.000000 3.39967 0.359824
C264 -0.000000 3.39967 0.359824
C265 -0.000000 3.39967 0.359824
C266  0.000000 3.39967 0.359824
C267 -0.000000 3.39967 0.359824
C268 -0.000000 3.39967 0.359824
C269  0.000000 3.39967 0.359824
C270  0.000000 3.39967 0.359824
C271 -0.000000 3.39967 0.359824
C272 -0.000000 3.39967 0.359824
C273  0.000000 3.39967 0.359824
C274  0.000000 3.39967 0.359824
C275 -0.000000 3.39967 0.359824
C276 -0.000000 3.39967 0.359824
C277  0.000000 3.39967 0.359824
C278 -0.000000 3.39967 0.359824
C279 -0.000000 3.39967 0.359824
C280 -0.000000 3.39967 0.359824
C281 -0.000000 3.39967 0.359824
C282 -0.000000 3.39967 0.359824
C283 -0.000001 3.39967 0.359824
C284 -0.000089 3.39967 0.359824
C285 -0.001252 3.39967 0.359824
C286 -0.015867 3.39967 0.359824
C287 -0.046364 3.39967 0.359824
C288 -0.046364 3.39967 0.359824
C289 -0.015867 3.39967 0.359824
C290 -0.001252 3.39967 0.359824
C291 -0.000089 3.39967 0.359824
C292 -0.000001 3.39967 0.359824
C293 -0.000000 3.39967 0.359824
C294 -0.000000 3.39967 0.359824
C295 -0.000000 3.39967 0.359824
C296 -0.000000 3.39967 0.359824
C297 -0.000000 3.39967 0.359824
C298 -0.000000 3.39967 0.359824
C299 -0.000000 3.39967 0.359824
C300 -0.000000 3.39967 0.359824
C301 -0.000000 3.39967 0.359824
C302 -0.000000 3.39967 0.359824
C303 -0.000000 3.39967 0.359824
C304 -0.000000 3.39967 0.359824
C305 -0.000000 3.39967 0.359824
C306 -0.000000 3.39967 0.359824
C307 -0.000000 3.39967 0.359824
C308 -0.000000 3.39967 0.359824
C309 -0.000000 3.39967 0.359824
C310 -0.000000 3.39967 0.359824
C311 -0.000000 3.39967 0.359824
C312 -0.000000 3.39967 0.359824
C313 -0.000000 3.39967 0.359824
C314 -0.000000 3.39967 0.359824
C315 -0.000001 3.39967 0.359824
C316 -0.000089 3.39967 0.359824
C317 -0.001252 3.39967 0.359824
C318 -0.015867 3.39967 0.359824
C319 -0.046364 3.39967 0.359824
C320 -0.046364 3.39967 0.359824
C321 -0.015867 3.39967 0.359824
C322 -0.001252 3.39967 0.359824
C323 -0.000089 3.39967 0.359824
C324 -0.000002 3.39967 0.359824
C325 -0.000000 3.39967 0.359824
C326 -0.000000 3.39967 0.359824
C327 -0.000000 3.39967 0.359824
C328 -0.000000 3.39967 0.359824
C329 -0.000000 3.39967 0.359824
C330 -0.000000 3.39967 0.359824
C331 -0.000000 3.39967 0.359824
C332 -0.000000 3.39967 0.359824
C333 -0.000000 3.39967 0.359824
C334 -0.000000 3.39967 0.359824
C335 -0.000000 3.39967 0.359824
C336 -0.000000 3.39967 0.359824
C337 -0.000000 3.39967 0.359824
C338 -0.000000 3.39967 0.359824
C339 -0.000000 3.39967 0.359824
C340 -0.000000 3.39967 0.359824
C341 -0.000000 3.39967 0.359824
C342 -0.000000 3.39967 0.359824
C343 -0.000000 3.39967 0.359824
C344 -0.000000 3.39967 0.359824
C345 -0.000000 3.39967 0.359824
C346 -0.000000 3.39967 0.359824
C347 -0.000002 3.39967 0.359824
C348 -0.000089 3.39967 0.359824
C349 -0.001252 3.39967 0.359824
C350 -0.015867 3.39967 0.359824
C351 -0.046364 3.39967 0.359824
C352 -0.047004 3.39967 0.359824
C353 -0.015889 3.39967 0.359824
C354 -0.001275 3.39967 0.359824
C355 -0.000781 3.39967 0.359824
C356 -0.000694 3.39967 0.359824
C357 -0.000024 3.39967 0.359824
C358 -0.000024 3.39967 0.359824
C359 -0.000693 3.39967 0.359824
C360 -0.000693 3.39967 0.359824
C361 -0.000024 3.39967 0.359824
C362 -0.000024 3.39967 0.359824
C363 -0.000693 3.39967 0.359824
C364 -0.000693 3.39967 0.359824
C365 -0.000024 3.39967 0.359824
C366 -0.000024 3.39967 0.359824
C367 -0.000693 3.39967 0.359824
C368 -0.000693 3.39967 0.359824
C369 -0.000024 3.39967 0.359824
C370 -0.000024 3.39967 0.359824
C371 -0.000693 3.39967 0.359824
C372 -0.000693 3.39967 0.359824
C373 -0.000024 3.39967 0.359824
C374 -0.000024 3.39967 0.359824
C375 -0.000693 3.39967 0.359824
C376 -0.000693 3.39967 0.359824
C377 -0.000024 3.39967 0.359824
C378 -0.000024 3.39967 0.359824
C379 -0.000694 3.39967 0.359824
C380 -0.000781 3.39967 0.359824
C381 -0.001275 3.39967 0.359824
C382 -0.015889 3.39967 0.359824
C383 -0.047004 3.39967 0.359824
C384 -0.091112 3.39967 0.359824
C385 -0.024332 3.39967 0.359824
C386 -0.010395 3.39967 0.359824
C387 -0.053112 3.39967 0.359824
C388 -0.053069 3.39967 0.359824
C389 -0.009175 3.39967 0.359824
C390 -0.009175 3.39967 0.359824
C391 -0.053068 3.39967 0.359824
C392 -0.053068 3.39967 0.359824
C393 -0.009175 3.39967 0.359824
C394 -0.009175 3.39967 0.359824
C395 -0.053068 3.39967 0.359824
C396 -0.053068 3.39967 0.359824
C397 -0.009175 3.39967 0.359824
C398 -0.009175 3.39967 0.359824
C399 -0.053068 3.39967 0.359824
C400 -0.053068 3.39967 0.359824
C401 -0.009175 3.39967 0.359824
C402 -0.009175 3.39967 0.359824
C403 -0.053068 3.39967 0.359824
C404 -0.053068 3.39967 0.359824
C405 -0.009175 3.39967 0.359824
C406 -0.009175 3.39967 0.359824
C407 -0.053068 3.39967 0.359824
C408 -0.053068 3.39967 0.359824
C409 -0.009175 3.39967 0.359824
C410 -0.009175 3.39967 0.359824
C411 -0.053069 3.39967 0.359824
C412 -0.053112 3.39967 0.359824
C413 -0.010395 3.39967 0.359824
C414 -0.024332 3.39967 0.359824
C415 -0.091112 3.39967 0.359824
#Water
O    -0.834000 3.15075 0.635968
H1   +0.417000 0.00000 0.000000
H2   +0.417000 0.00000 0.000000
